side	eta	phi	depth	dphi	det	RBX	wedge	rm	BV/pix	card	QIE	rm_fib	fib_ch	pp/col	pp/row	pp coupler	pp/LC	dodec	crate	uhtr	uhtr_fib	fedid
1	16	63	2	1	HB	HBP17	17	1	18	1	0	2	0	3	1	HBP17 RM1A	2	3	34	11	2	1114
1	15	63	2	1	HB	HBP17	17	1	13	1	1	2	1	3	1	HBP17 RM1A	2	3	34	11	2	1114
1	14	63	1	1	HB	HBP17	17	1	14	1	2	2	2	3	1	HBP17 RM1A	2	3	34	11	2	1114
1	15	63	1	1	HB	HBP17	17	1	19	1	4	3	0	3	1	HBP17 RM1A	3	4	34	11	3	1114
1	13	63	1	1	HB	HBP17	17	1	15	1	5	3	1	3	1	HBP17 RM1A	3	4	34	11	3	1114
1	16	63	1	1	HB	HBP17	17	1	17	1	3	3	2	3	1	HBP17 RM1A	3	4	34	11	3	1114
1	10	63	1	1	HB	HBP17	17	1	9	2	0	4	0	3	1	HBP17 RM1A	4	1	34	10	0	1114
1	6	63	1	1	HB	HBP17	17	1	5	2	1	4	1	3	1	HBP17 RM1A	4	1	34	10	0	1114
1	2	63	1	1	HB	HBP17	17	1	2	2	2	4	2	3	1	HBP17 RM1A	4	1	34	10	0	1114
1	8	63	1	1	HB	HBP17	17	1	12	2	4	5	0	4	1	HBP17 RM1B	1	1	34	10	12	1114
1	4	63	1	1	HB	HBP17	17	1	7	2	5	5	1	4	1	HBP17 RM1B	1	1	34	10	12	1114
1	12	63	1	1	HB	HBP17	17	1	16	2	3	5	2	4	1	HBP17 RM1B	1	1	34	10	12	1114
1	11	63	1	1	HB	HBP17	17	1	8	3	0	6	0	4	1	HBP17 RM1B	2	2	34	10	13	1114
1	7	63	1	1	HB	HBP17	17	1	4	3	1	6	1	4	1	HBP17 RM1B	2	2	34	10	13	1114
1	3	63	1	1	HB	HBP17	17	1	1	3	2	6	2	4	1	HBP17 RM1B	2	2	34	10	13	1114
1	5	63	1	1	HB	HBP17	17	1	6	3	4	7	0	4	1	HBP17 RM1B	3	3	34	10	14	1114
1	1	63	1	1	HB	HBP17	17	1	3	3	5	7	1	4	1	HBP17 RM1B	3	3	34	10	14	1114
1	9	63	1	1	HB	HBP17	17	1	11	3	3	7	2	4	1	HBP17 RM1B	3	3	34	10	14	1114
1	16	64	2	1	HB	HBP17	17	2	17	1	0	2	0	3	2	HBP17 RM2A	2	5	34	11	4	1114
1	15	64	2	1	HB	HBP17	17	2	3	1	1	2	1	3	2	HBP17 RM2A	2	5	34	11	4	1114
1	14	64	1	1	HB	HBP17	17	2	1	1	2	2	2	3	2	HBP17 RM2A	2	5	34	11	4	1114
1	15	64	1	1	HB	HBP17	17	2	2	1	4	3	0	3	2	HBP17 RM2A	3	6	34	11	5	1114
1	13	64	1	1	HB	HBP17	17	2	7	1	5	3	1	3	2	HBP17 RM2A	3	6	34	11	5	1114
1	16	64	1	1	HB	HBP17	17	2	19	1	3	3	2	3	2	HBP17 RM2A	3	6	34	11	5	1114
1	10	64	1	1	HB	HBP17	17	2	4	2	0	4	0	3	2	HBP17 RM2A	4	2	34	10	1	1114
1	6	64	1	1	HB	HBP17	17	2	8	2	1	4	1	3	2	HBP17 RM2A	4	2	34	10	1	1114
1	2	64	1	1	HB	HBP17	17	2	13	2	2	4	2	3	2	HBP17 RM2A	4	2	34	10	1	1114
1	8	64	1	1	HB	HBP17	17	2	11	2	4	5	0	4	2	HBP17 RM2B	1	4	34	10	15	1114
1	4	64	1	1	HB	HBP17	17	2	15	2	5	5	1	4	2	HBP17 RM2B	1	4	34	10	15	1114
1	12	64	1	1	HB	HBP17	17	2	6	2	3	5	2	4	2	HBP17 RM2B	1	4	34	10	15	1114
1	11	64	1	1	HB	HBP17	17	2	5	3	0	6	0	4	2	HBP17 RM2B	2	5	34	10	16	1114
1	7	64	1	1	HB	HBP17	17	2	9	3	1	6	1	4	2	HBP17 RM2B	2	5	34	10	16	1114
1	3	64	1	1	HB	HBP17	17	2	14	3	2	6	2	4	2	HBP17 RM2B	2	5	34	10	16	1114
1	5	64	1	1	HB	HBP17	17	2	16	3	4	7	0	4	2	HBP17 RM2B	3	6	34	10	17	1114
1	1	64	1	1	HB	HBP17	17	2	18	3	5	7	1	4	2	HBP17 RM2B	3	6	34	10	17	1114
1	9	64	1	1	HB	HBP17	17	2	12	3	3	7	2	4	2	HBP17 RM2B	3	6	34	10	17	1114
1	16	65	2	1	HB	HBP17	17	3	3	1	0	2	0	3	3	HBP17 RM3A	2	7	34	11	6	1114
1	15	65	2	1	HB	HBP17	17	3	17	1	1	2	1	3	3	HBP17 RM3A	2	7	34	11	6	1114
1	14	65	1	1	HB	HBP17	17	3	19	1	2	2	2	3	3	HBP17 RM3A	2	7	34	11	6	1114
1	15	65	1	1	HB	HBP17	17	3	18	1	4	3	0	3	3	HBP17 RM3A	3	8	34	11	7	1114
1	13	65	1	1	HB	HBP17	17	3	13	1	5	3	1	3	3	HBP17 RM3A	3	8	34	11	7	1114
1	16	65	1	1	HB	HBP17	17	3	1	1	3	3	2	3	3	HBP17 RM3A	3	8	34	11	7	1114
1	10	65	1	1	HB	HBP17	17	3	16	2	0	4	0	3	3	HBP17 RM3A	4	3	34	10	2	1114
1	6	65	1	1	HB	HBP17	17	3	12	2	1	4	1	3	3	HBP17 RM3A	4	3	34	10	2	1114
1	2	65	1	1	HB	HBP17	17	3	7	2	2	4	2	3	3	HBP17 RM3A	4	3	34	10	2	1114
1	8	65	1	1	HB	HBP17	17	3	9	2	4	5	0	4	3	HBP17 RM3B	1	7	34	10	18	1114
1	4	65	1	1	HB	HBP17	17	3	5	2	5	5	1	4	3	HBP17 RM3B	1	7	34	10	18	1114
1	12	65	1	1	HB	HBP17	17	3	14	2	3	5	2	4	3	HBP17 RM3B	1	7	34	10	18	1114
1	11	65	1	1	HB	HBP17	17	3	15	3	0	6	0	4	3	HBP17 RM3B	2	8	34	10	19	1114
1	7	65	1	1	HB	HBP17	17	3	11	3	1	6	1	4	3	HBP17 RM3B	2	8	34	10	19	1114
1	3	65	1	1	HB	HBP17	17	3	6	3	2	6	2	4	3	HBP17 RM3B	2	8	34	10	19	1114
1	5	65	1	1	HB	HBP17	17	3	4	3	4	7	0	4	3	HBP17 RM3B	3	9	34	10	20	1114
1	1	65	1	1	HB	HBP17	17	3	2	3	5	7	1	4	3	HBP17 RM3B	3	9	34	10	20	1114
1	9	65	1	1	HB	HBP17	17	3	8	3	3	7	2	4	3	HBP17 RM3B	3	9	34	10	20	1114
1	16	66	2	1	HB	HBP17	17	4	2	1	0	2	0	3	4	HBP17 RM4A	2	9	34	11	8	1114
1	15	66	2	1	HB	HBP17	17	4	7	1	1	2	1	3	4	HBP17 RM4A	2	9	34	11	8	1114
1	14	66	1	1	HB	HBP17	17	4	6	1	2	2	2	3	4	HBP17 RM4A	2	9	34	11	8	1114
1	15	66	1	1	HB	HBP17	17	4	1	1	4	3	0	3	4	HBP17 RM4A	3	10	34	11	9	1114
1	13	66	1	1	HB	HBP17	17	4	5	1	5	3	1	3	4	HBP17 RM4A	3	10	34	11	9	1114
1	16	66	1	1	HB	HBP17	17	4	3	1	3	3	2	3	4	HBP17 RM4A	3	10	34	11	9	1114
1	10	66	1	1	HB	HBP17	17	4	11	2	0	4	0	3	4	HBP17 RM4A	4	4	34	10	3	1114
1	6	66	1	1	HB	HBP17	17	4	15	2	1	4	1	3	4	HBP17 RM4A	4	4	34	10	3	1114
1	2	66	1	1	HB	HBP17	17	4	18	2	2	4	2	3	4	HBP17 RM4A	4	4	34	10	3	1114
1	8	66	1	1	HB	HBP17	17	4	8	2	4	5	0	4	4	HBP17 RM4B	1	10	34	10	21	1114
1	4	66	1	1	HB	HBP17	17	4	13	2	5	5	1	4	4	HBP17 RM4B	1	10	34	10	21	1114
1	12	66	1	1	HB	HBP17	17	4	4	2	3	5	2	4	4	HBP17 RM4B	1	10	34	10	21	1114
1	11	66	1	1	HB	HBP17	17	4	12	3	0	6	0	4	4	HBP17 RM4B	2	11	34	10	22	1114
1	7	66	1	1	HB	HBP17	17	4	16	3	1	6	1	4	4	HBP17 RM4B	2	11	34	10	22	1114
1	3	66	1	1	HB	HBP17	17	4	19	3	2	6	2	4	4	HBP17 RM4B	2	11	34	10	22	1114
1	5	66	1	1	HB	HBP17	17	4	14	3	4	7	0	4	4	HBP17 RM4B	3	12	34	10	23	1114
1	1	66	1	1	HB	HBP17	17	4	17	3	5	7	1	4	4	HBP17 RM4B	3	12	34	10	23	1114
1	9	66	1	1	HB	HBP17	17	4	9	3	3	7	2	4	4	HBP17 RM4B	3	12	34	10	23	1114
1	19	63	2	1	ngHE	HEP17	17	1	16	1	1	1	0	1	1	HEP17 RM1A	1	2	34	12	1	1114
1	20	63	3	1	ngHE	HEP17	17	1	30	1	2	1	1	1	1	HEP17 RM1A	1	2	34	12	1	1114
1	22	63	3	2	ngHE	HEP17	17	1	31	1	3	1	2	1	1	HEP17 RM1A	1	2	34	12	1	1114
1	24	63	3	2	ngHE	HEP17	17	1	32	1	4	1	3	1	1	HEP17 RM1A	1	2	34	12	1	1114
1	24	63	2	2	ngHE	HEP17	17	1	21	1	5	1	4	1	1	HEP17 RM1A	1	2	34	12	1	1114
1	26	63	2	2	ngHE	HEP17	17	1	22	1	6	1	5	1	1	HEP17 RM1A	1	2	34	12	1	1114
1	29	63	1	2	ngHE	HEP17	17	1	8	1	7	2	0	1	1	HEP17 RM1A	2	1	34	11	12	1114
1	28	63	1	2	ngHE	HEP17	17	1	7	1	8	2	1	1	1	HEP17 RM1A	2	1	34	11	12	1114
1	18	63	2	1	ngHE	HEP17	17	1	15	1	9	2	2	1	1	HEP17 RM1A	2	1	34	11	12	1114
1	17	63	2	1	ngHE	HEP17	17	1	14	1	10	2	3	1	1	HEP17 RM1A	2	1	34	11	12	1114
1	16	63	3	1	ngHE	HEP17	17	1	13	1	11	2	4	1	1	HEP17 RM1A	2	1	34	11	12	1114
1	29	63	2	2	ngHE	HEP17	17	1	24	1	12	2	5	1	1	HEP17 RM1A	2	1	34	11	12	1114
1	24	63	6	2	ngHE	HEP17	17	1	44	2	1	3	0	1	1	HEP17 RM1A	3	3	34	12	2	1114
1	24	63	5	2	ngHE	HEP17	17	1	36	2	2	3	1	1	1	HEP17 RM1A	3	3	34	12	2	1114
1	26	63	5	2	ngHE	HEP17	17	1	37	2	3	3	2	1	1	HEP17 RM1A	3	3	34	12	2	1114
1	26	63	6	2	ngHE	HEP17	17	1	45	2	4	3	3	1	1	HEP17 RM1A	3	3	34	12	2	1114
1	19	63	3	1	ngHE	HEP17	17	1	29	2	5	3	4	1	1	HEP17 RM1A	3	3	34	12	2	1114
1	26	63	3	2	ngHE	HEP17	17	1	39	2	6	3	5	1	1	HEP17 RM1A	3	3	34	12	2	1114
1	28	63	2	2	ngHE	HEP17	17	1	23	2	7	4	0	1	1	HEP17 RM1A	4	2	34	11	13	1114
1	28	63	5	2	ngHE	HEP17	17	1	38	2	8	4	1	1	1	HEP17 RM1A	4	2	34	11	13	1114
1	28	63	3	2	ngHE	HEP17	17	1	40	2	9	4	2	1	1	HEP17 RM1A	4	2	34	11	13	1114
1	28	63	7	2	ngHE	HEP17	17	1	48	2	10	4	3	1	1	HEP17 RM1A	4	2	34	11	13	1114
1	26	63	7	2	ngHE	HEP17	17	1	47	2	11	4	4	1	1	HEP17 RM1A	4	2	34	11	13	1114
1	28	63	6	2	ngHE	HEP17	17	1	46	2	12	4	5	1	1	HEP17 RM1A	4	2	34	11	13	1114
1	19	63	5	1	ngHE	HEP17	17	1	33	3	1	5	0	2	1	HEP17 RM1B	1	4	34	12	3	1114
1	26	63	4	2	ngHE	HEP17	17	1	26	3	2	5	1	2	1	HEP17 RM1B	1	4	34	12	3	1114
1	20	63	6	1	ngHE	HEP17	17	1	42	3	3	5	2	2	1	HEP17 RM1B	1	4	34	12	3	1114
1	20	63	5	1	ngHE	HEP17	17	1	34	3	4	5	3	2	1	HEP17 RM1B	1	4	34	12	3	1114
1	22	63	5	2	ngHE	HEP17	17	1	35	3	5	5	4	2	1	HEP17 RM1B	1	4	34	12	3	1114
1	22	63	6	2	ngHE	HEP17	17	1	43	3	6	5	5	2	1	HEP17 RM1B	1	4	34	12	3	1114
1	18	63	3	1	ngHE	HEP17	17	1	28	3	7	6	0	2	1	HEP17 RM1B	2	3	34	11	14	1114
1	28	63	4	2	ngHE	HEP17	17	1	27	3	8	6	1	2	1	HEP17 RM1B	2	3	34	11	14	1114
1	17	63	3	1	ngHE	HEP17	17	1	12	3	9	6	2	2	1	HEP17 RM1B	2	3	34	11	14	1114
1	18	63	5	1	ngHE	HEP17	17	1	11	3	10	6	3	2	1	HEP17 RM1B	2	3	34	11	14	1114
1	18	63	1	1	ngHE	HEP17	17	1	1	3	11	6	4	2	1	HEP17 RM1B	2	3	34	11	14	1114
1	18	63	4	1	ngHE	HEP17	17	1	9	3	12	6	5	2	1	HEP17 RM1B	2	3	34	11	14	1114
1	19	63	1	1	ngHE	HEP17	17	1	2	4	1	7	0	2	1	HEP17 RM1B	3	5	34	12	4	1114
1	20	63	1	1	ngHE	HEP17	17	1	3	4	2	7	1	2	1	HEP17 RM1B	3	5	34	12	4	1114
1	22	63	1	2	ngHE	HEP17	17	1	4	4	3	7	2	2	1	HEP17 RM1B	3	5	34	12	4	1114
1	24	63	1	2	ngHE	HEP17	17	1	5	4	4	7	3	2	1	HEP17 RM1B	3	5	34	12	4	1114
1	19	63	4	1	ngHE	HEP17	17	1	10	4	5	7	4	2	1	HEP17 RM1B	3	5	34	12	4	1114
1	26	63	1	2	ngHE	HEP17	17	1	6	4	6	7	5	2	1	HEP17 RM1B	3	5	34	12	4	1114
1	19	63	6	1	ngHE	HEP17	17	1	41	4	7	8	0	2	1	HEP17 RM1B	4	6	34	12	5	1114
1	24	63	4	2	ngHE	HEP17	17	1	25	4	8	8	1	2	1	HEP17 RM1B	4	6	34	12	5	1114
1	22	63	2	2	ngHE	HEP17	17	1	20	4	9	8	2	2	1	HEP17 RM1B	4	6	34	12	5	1114
1	20	63	2	1	ngHE	HEP17	17	1	19	4	10	8	3	2	1	HEP17 RM1B	4	6	34	12	5	1114
1	22	63	4	2	ngHE	HEP17	17	1	18	4	11	8	4	2	1	HEP17 RM1B	4	6	34	12	5	1114
1	20	63	4	1	ngHE	HEP17	17	1	17	4	12	8	5	2	1	HEP17 RM1B	4	6	34	12	5	1114
1	19	64	5	1	ngHE	HEP17	17	2	40	1	1	1	0	1	2	HEP17 RM2A	1	7	34	12	6	1114
1	19	64	6	1	ngHE	HEP17	17	2	48	1	2	1	1	1	2	HEP17 RM2A	1	7	34	12	6	1114
1	21	63	2	2	ngHE	HEP17	17	2	21	1	3	1	2	1	2	HEP17 RM2A	1	7	34	12	6	1114
1	20	64	2	1	ngHE	HEP17	17	2	22	1	4	1	3	1	2	HEP17 RM2A	1	7	34	12	6	1114
1	21	63	4	2	ngHE	HEP17	17	2	23	1	5	1	4	1	2	HEP17 RM2A	1	7	34	12	6	1114
1	20	64	4	1	ngHE	HEP17	17	2	24	1	6	1	5	1	2	HEP17 RM2A	1	7	34	12	6	1114
1	19	64	1	1	ngHE	HEP17	17	2	7	1	7	2	0	1	2	HEP17 RM2A	2	8	34	12	7	1114
1	20	64	1	1	ngHE	HEP17	17	2	6	1	8	2	1	1	2	HEP17 RM2A	2	8	34	12	7	1114
1	21	63	1	2	ngHE	HEP17	17	2	5	1	9	2	2	1	2	HEP17 RM2A	2	8	34	12	7	1114
1	23	63	1	2	ngHE	HEP17	17	2	4	1	10	2	3	1	2	HEP17 RM2A	2	8	34	12	7	1114
1	19	64	4	1	ngHE	HEP17	17	2	15	1	11	2	4	1	2	HEP17 RM2A	2	8	34	12	7	1114
1	25	63	1	2	ngHE	HEP17	17	2	3	1	12	2	5	1	2	HEP17 RM2A	2	8	34	12	7	1114
1	23	63	6	2	ngHE	HEP17	17	2	45	2	1	3	0	1	2	HEP17 RM2A	3	9	34	12	8	1114
1	25	63	4	2	ngHE	HEP17	17	2	31	2	2	3	1	1	2	HEP17 RM2A	3	9	34	12	8	1114
1	20	64	5	1	ngHE	HEP17	17	2	39	2	3	3	2	1	2	HEP17 RM2A	3	9	34	12	8	1114
1	21	63	6	2	ngHE	HEP17	17	2	46	2	4	3	3	1	2	HEP17 RM2A	3	9	34	12	8	1114
1	23	63	4	2	ngHE	HEP17	17	2	32	2	5	3	4	1	2	HEP17 RM2A	3	9	34	12	8	1114
1	20	64	6	1	ngHE	HEP17	17	2	47	2	6	3	5	1	2	HEP17 RM2A	3	9	34	12	8	1114
1	18	64	1	1	ngHE	HEP17	17	2	8	2	7	4	0	1	2	HEP17 RM2A	4	4	34	11	15	1114
1	18	64	4	1	ngHE	HEP17	17	2	16	2	8	4	1	1	2	HEP17 RM2A	4	4	34	11	15	1114
1	18	64	5	1	ngHE	HEP17	17	2	14	2	9	4	2	1	2	HEP17 RM2A	4	4	34	11	15	1114
1	17	64	3	1	ngHE	HEP17	17	2	13	2	10	4	3	1	2	HEP17 RM2A	4	4	34	11	15	1114
1	27	63	4	2	ngHE	HEP17	17	2	30	2	11	4	4	1	2	HEP17 RM2A	4	4	34	11	15	1114
1	18	64	3	1	ngHE	HEP17	17	2	29	2	12	4	5	1	2	HEP17 RM2A	4	4	34	11	15	1114
1	27	63	7	2	ngHE	HEP17	17	2	41	3	1	5	0	2	2	HEP17 RM2B	1	5	34	11	16	1114
1	27	63	3	2	ngHE	HEP17	17	2	33	3	2	5	1	2	2	HEP17 RM2B	1	5	34	11	16	1114
1	27	63	5	2	ngHE	HEP17	17	2	35	3	3	5	2	2	2	HEP17 RM2B	1	5	34	11	16	1114
1	27	63	6	2	ngHE	HEP17	17	2	43	3	4	5	3	2	2	HEP17 RM2B	1	5	34	11	16	1114
1	29	63	3	2	ngHE	HEP17	17	2	42	3	5	5	4	2	2	HEP17 RM2B	1	5	34	11	16	1114
1	N/C	63		2	ngHE	HEP17	17	2	18	3	6	5	5	2	2	HEP17 RM2B	1	5	34	11	16	1114
1	21	63	5	2	ngHE	HEP17	17	2	38	3	7	6	0	2	2	HEP17 RM2B	2	10	34	12	9	1114
1	23	63	5	2	ngHE	HEP17	17	2	37	3	8	6	1	2	2	HEP17 RM2B	2	10	34	12	9	1114
